,Mileage,EngineV,Price_log,Brand_Audi,Brand_BMW,Brand_Mercedes-Benz,Brand_Mitsubishi,Brand_Renault,Brand_Toyota,Brand_Volkswagen,Body_crossover,Body_hatch,Body_other,Body_sedan,Body_vagon,Body_van,Engine Type_Diesel,Engine Type_Gas,Engine Type_Other,Engine Type_Petrol,Registration_no,Registration_yes
24,163,4.2,10.1226230824528,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
25,151,3.0,9.94270826568941,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
26,330,2.4,8.779557455883728,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
27,171,2.2,9.515321941506025,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
28,65,1.3,9.047821442478408,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
30,1,2.3,7.9724660159745655,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
31,72,3.0,9.975808214115753,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
32,87,3.8,9.792555991828847,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
33,160,4.8,10.257659366256743,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
34,160,1.9,9.190137664658664,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
35,147,2.4,9.581903928408666,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
36,300,2.8,8.699514748210191,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
37,1,2.5,11.119882876860622,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
38,14,1.8,10.431170293368542,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
40,230,2.15,9.190137664658664,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
41,86,5.5,11.05089000537367,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
42,326,2.8,8.948975607841776,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
43,30,2.2,9.169518377455928,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
44,181,2.4,9.457200449907708,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
45,80,3.0,10.621327345686446,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
46,220,2.4,7.824046010856292,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
47,231,2.5,8.216088098632316,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
48,134,5.0,10.292145542327912,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
49,335,2.8,8.779557455883728,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
51,66,1.5,9.017968479328726,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
52,172,3.5,9.878169744551839,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
53,317,5.0,9.51044496442652,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
54,266,2.2,9.126958763037132,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
57,265,2.0,8.517193191416238,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
58,162,4.8,10.081633737919603,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
59,81,3.0,10.515966830028619,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
60,253,1.8,9.093806555720231,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
61,200,1.9,8.961879012677683,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
63,270,1.8,7.408530566894626,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
64,240,3.5,10.819778284410283,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
65,245,2.0,9.179881164491475,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
66,127,2.2,9.21024036697585,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
67,21,3.0,11.156236235215168,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
68,152,1.6,8.779557455883728,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
69,267,1.9,8.366370301681654,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
70,267,2.5,8.006367567650246,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
71,240,2.2,9.071078304642676,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
72,178,2.0,9.104979856318357,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
73,190,1.8,9.923290179832307,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
74,175,3.0,9.104979856318357,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
75,105,1.8,9.503009985939002,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
76,195,1.9,8.216088098632316,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
77,126,2.0,9.195226734166134,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
78,420,2.0,8.216088098632316,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
79,195,4.0,9.6614159913364,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
80,180,2.2,10.106428396532818,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
81,195,1.6,8.922658299524402,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
82,231,2.5,9.39182824802156,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
83,51,1.4,9.525771357380366,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
84,287,2.5,9.011889433252344,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
85,222,1.5,8.85352256068954,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
86,214,1.5,8.817297783866575,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
87,245,3.0,9.825526011066415,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
88,83,2.0,9.567944883732848,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
89,210,3.2,10.257659366256743,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
90,89,3.8,9.740968623038354,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
92,130,4.7,10.154246270883311,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
93,333,2.5,7.882314918980268,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
94,116,1.5,9.047821442478408,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
95,405,2.0,8.294049640102028,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
96,131,1.5,9.305650551780507,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
97,138,2.0,9.581903928408666,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
98,50,2.5,8.318498320504338,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
99,1,2.0,10.357742824813725,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
100,207,1.5,8.411832675758411,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
101,207,1.9,8.809862805379057,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
103,31,2.4,9.94270826568941,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
104,0,2.98,11.58987724680423,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
105,334,2.0,8.160518247477505,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
106,18,1.8,10.571316925111784,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
107,150,4.7,9.51044496442652,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
108,175,1.6,8.724207360800564,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
109,76,4.4,10.725467604939041,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
110,295,2.0,8.496990484098719,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
111,5,2.0,10.757902880692196,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
112,190,2.7,9.862665558015873,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
114,119,2.4,9.314700387300425,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
115,139,1.5,9.011889433252344,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
116,235,2.0,9.239899174217728,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
117,210,1.1,9.39182824802156,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
119,33,2.0,10.753638481905739,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
120,260,1.8,7.313220387090301,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
121,156,4.4,8.756210091886738,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
123,155,1.5,9.093806555720231,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
124,160,3.0,9.449357272446683,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
125,207,1.6,8.987196820661973,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
126,63,4.0,10.292145542327912,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
128,208,1.5,8.867850063029406,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
129,103,2.5,9.291920358968605,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
132,57,2.0,10.203592144986466,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
133,64,2.0,9.803667217253917,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
134,137,5.0,10.203592144986466,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
135,300,2.2,9.103868127465667,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
136,82,2.7,10.401227936753463,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
137,163,4.8,10.146433731146518,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
138,153,2.0,9.093806555720231,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
139,190,3.0,9.388486557359657,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
140,125,2.2,10.030120203469494,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
142,165,2.2,9.472704636443673,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
143,60,2.0,10.126631103850338,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
144,119,4.0,10.19988156558993,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
145,0,2.2,11.382554786308235,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
146,200,2.0,8.699514748210191,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
147,257,2.5,9.190137664658664,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
148,197,2.0,9.539644119118783,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
149,164,2.5,9.409191230721348,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
150,205,2.7,9.51044496442652,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
151,200,4.8,9.803667217253917,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
152,200,3.0,10.404262840448617,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
153,145,1.4,9.735068900911164,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
154,110,1.8,9.998797732340453,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
155,195,3.2,9.277999020449997,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
156,226,2.2,8.961879012677683,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
157,184,1.8,9.75846178048587,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
158,16,3.0,11.156250521031495,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
159,118,1.4,7.696212639346407,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0
160,256,2.2,9.093806555720231,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
161,33,1.6,10.360912399575003,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
162,168,1.9,8.974618038455112,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
163,97,3.5,10.257659366256743,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
164,140,1.5,8.83927669058535,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
165,280,2.5,9.088172738001974,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
166,164,1.4,8.039157390473237,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
167,250,2.5,9.093806555720231,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
168,130,1.4,8.716044050161402,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
169,260,1.8,7.24422751560335,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
170,93,1.6,9.082507000466299,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
171,176,2.0,9.239802082125802,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
172,170,1.6,8.779557455883728,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
174,151,1.6,9.116029692504942,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
175,95,1.4,9.205327830152639,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
176,260,4.7,10.106428396532818,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
177,27,3.0,10.849337086651827,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
178,290,1.9,9.464982590349763,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
179,250,2.2,8.987196820661973,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
180,112,2.4,8.99961934066053,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
181,164,2.0,9.22029070282935,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
182,300,2.5,7.549609165154532,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
183,187,2.0,9.287301413112312,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
184,234,4.2,8.987196820661973,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
185,120,2.6,9.635608107380527,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
186,182,1.9,7.762170607138205,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
188,5,0.65,10.568440998725292,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
190,0,4.5,11.512915464920228,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
191,110,1.8,9.778491062361443,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
192,237,2.5,9.47262771040802,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
193,90,1.8,9.825526011066415,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
194,195,2.0,9.126958763037132,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
195,1,1.6,9.581903928408666,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
196,18,1.6,9.798127036878302,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
197,250,1.7,8.824677891164198,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
198,73,2.0,9.9281801651265,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
199,100,5.0,10.239959789157341,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
200,130,2.0,9.273315171137572,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
201,30,1.4,9.918376165029878,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
202,267,1.9,8.006367567650246,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
203,112,4.5,10.136581434703507,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
204,245,1.3,7.236339342754344,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
205,174,4.0,9.775654181026242,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
206,180,2.2,9.560997243589352,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
207,270,4.6,9.525151111816216,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
208,187,5.5,10.081633737919603,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
210,144,3.6,10.373491181781864,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
211,267,2.0,8.433594167539924,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
212,300,1.9,7.762170607138205,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
213,160,2.0,9.903437551286085,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
214,78,2.0,10.271596874100524,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
215,300,2.8,8.242756345714477,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
217,300,1.3,7.495541943884256,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
219,201,2.0,9.179881164491475,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
220,1,2.5,10.140226269364646,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
221,1,1.6,10.1226230824528,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
222,140,1.4,8.51699317141357,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
224,390,2.5,8.45531778769815,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
225,1,2.8,8.51699317141357,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
226,350,2.7,9.137662146478197,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
227,130,5.5,10.126631103850338,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
228,148,3.0,9.464982590349763,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
229,189,2.5,9.179881164491475,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
230,64,2.0,9.22029070282935,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
231,296,3.0,7.937374696163295,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
232,350,2.9,9.51044496442652,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
233,125,1.8,9.093806555720231,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
234,0,3.0,11.60822655382414,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
235,180,3.2,9.350102314351341,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
236,82,3.0,10.515966830028619,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
237,150,4.0,10.410305154904579,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
238,253,2.5,9.230142999272362,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
239,0,1.6,9.74090979777877,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
240,179,3.0,9.287301413112312,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
241,99,2.99,10.477287975463508,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
242,156,1.6,9.20029003612268,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
243,91,1.5,8.974618038455112,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
244,216,2.2,9.539644119118783,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
245,102,1.8,9.903487552536127,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
246,38,2.2,10.257659366256743,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
247,178,1.6,8.881836305004146,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
248,200,2.0,9.104979856318357,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
249,115,3.0,10.505067539570582,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
250,41,1.0,8.987196820661973,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
251,11,1.8,10.668955394675699,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
252,48,1.4,9.525151111816216,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
253,165,1.8,8.97449144816442,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
254,180,2.0,9.546741177474825,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
255,176,1.6,9.259130536145614,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
257,160,2.0,9.94270826568941,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
258,488,2.0,7.824046010856292,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
259,176,3.2,10.373491181781864,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
260,220,5.0,9.581903928408666,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
261,20,1.6,9.735068900911164,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
262,172,2.2,9.517825071724143,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
263,273,2.5,7.8632667240095735,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
265,237,3.0,9.392661928770137,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
267,106,1.6,9.84161214881804,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
268,85,3.0,10.477287975463508,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
269,71,5.5,10.305613759378778,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
270,110,1.5,8.817297783866575,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
272,117,3.0,10.460242108190519,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
273,177,1.9,8.948975607841776,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
274,220,1.5,9.132378830506472,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
275,84,1.5,9.035986984831405,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
276,93,1.6,9.371608519572305,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
277,368,2.2,8.66561319653451,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
278,180,3.0,8.68270762989381,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
279,87,3.0,10.714395546283317,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
